序號,縣市,測站,監測日期,監測時間,污染物,污染程度,PSI值,二氧化硫(ppb),一氧化碳(ppm),臭氧(ppb),懸浮微粒(μg/m3),細懸浮微粒(μg/m3),二氧化氮(ppb),風速(m/sec),AQI值,臭氧8小時移動平均(ppb),氮氧化物(ppb)(NOx),一氧化氮(ppb)(NO),風向(degrees),一氧化碳8小時移動平均(ppb),懸浮微粒移動平均值(μg/m3),細懸浮微粒移動平均值(μg/m3)
3277,臺北市,古亭,2019/07/26,22時,,良好,,1.6,0.59,4.7,24,13,23,0.9,46,33,30,7,205,0,23,14
3278,臺北市,古亭,2019/07/26,21時,,良好,,1.3,0.43,15,20,7,17,0.8,47,44,19,2,155,0,23,15
3279,臺北市,古亭,2019/07/26,20時,細懸浮微粒,普通,,1.5,0.38,25,19,13,15,1.5,51,53,17,2,167,0,23,16
3280,臺北市,古亭,2019/07/26,19時,臭氧八小時,普通,,1.6,0.63,26,24,19,23,1.1,64,59,24,2,201,0,23,17
3281,臺北市,古亭,2019/07/26,18時,臭氧八小時,普通,,1.4,0.47,36,22,16,20,1.1,80,64,22,2,180,0,24,17
3282,臺北市,古亭,2019/07/26,17時,臭氧八小時,普通,,1.4,0.28,42,16,15,17,0.9,80,64,20,3,127,0,25,17
3283,臺北市,古亭,2019/07/26,16時,臭氧八小時,普通,,1.6,0.3,46,21,21,15,1,74,62,16,1,121,0,26,17
3284,臺北市,古亭,2019/07/26,15時,臭氧八小時,普通,,2.6,0.33,68,27,20,,1.7,61,58,,,312,0,28,16
3285,臺北市,古亭,2019/07/26,14時,,良好,,2.6,0.32,97,29,18,14,2,47,51,15,1,52,0,28,15
3286,臺北市,古亭,2019/07/26,13時,,良好,,2.1,0.28,86,23,14,11,1.8,45,40,11,1,332,0,27,14
3287,臺北市,古亭,2019/07/26,12時,,良好,,2.1,0.25,72,32,12,11,1.4,44,31,12,1,218,0,28,14
3288,臺北市,古亭,2019/07/26,11時,,良好,,2.3,0.29,63,26,15,13,1.6,45,23,14,2,245,0,27,14
3289,臺北市,古亭,2019/07/26,10時,,良好,,2.8,0.35,37,29,13,15,1.8,46,17,18,4,269,0,28,14
3290,臺北市,古亭,2019/07/26,09時,,良好,,2,0.45,29,29,12,,1.1,46,14,,,189,0,27,14
3291,臺北市,古亭,2019/07/26,08時,,良好,,1.7,0.4,13,28,12,12,0.9,49,13,19,7,218,0,27,15
3292,臺北市,古亭,2019/07/26,07時,細懸浮微粒,普通,,1.5,0.32,7.1,32,16,10,0.9,52,13,16,6,233,0,27,16
3293,臺北市,古亭,2019/07/26,06時,細懸浮微粒,普通,,1.4,0.2,9.5,24,13,6.4,0.9,51,14,8,2,143,0,26,16
3294,臺北市,古亭,2019/07/26,05時,細懸浮微粒,普通,,1.4,0.17,14,26,17,4.3,0.8,52,15,5,1,168,0,26,16
3295,臺北市,古亭,2019/07/26,04時,細懸浮微粒,普通,,1.4,0.17,14,28,17,4.1,1,52,17,5,1,218,0,26,16
3296,臺北市,古亭,2019/07/26,03時,細懸浮微粒,普通,,1.4,0.17,14,27,14,4.4,0.9,52,18,6,1,151,0,25,16
3297,臺北市,古亭,2019/07/26,02時,細懸浮微粒,普通,,1.5,0.19,15,24,16,5.2,0.9,54,19,6,1,175,0,25,17
3298,臺北市,古亭,2019/07/26,02時,細懸浮微粒,普通,,,,,,,,,54,19,,,,0,25,17
3299,臺北市,古亭,2019/07/26,01時,細懸浮微粒,普通,,1.4,0.27,18,24,15,8.1,1,53,22,9,1,190,0,25,16
3300,臺北市,古亭,2019/07/26,00時,細懸浮微粒,普通,,1.6,0.39,15,22,16,14,0.6,54,26,16,1,195,0,25,17
3301,臺北市,古亭,2019/07/25,23時,細懸浮微粒,普通,,1.8,0.44,15,28,19,16,1.2,56,31,18,2,139,0,27,17
3302,臺北市,古亭,2019/07/25,22時,細懸浮微粒,普通,,1.7,0.46,17,23,14,19,0.9,53,34,20,2,213,0,26,16
3303,臺北市,古亭,2019/07/25,21時,細懸浮微粒,普通,,2.1,0.43,25,20,16,19,1.1,54,37,20,1,156,0,27,17
3304,臺北市,古亭,2019/07/25,20時,細懸浮微粒,普通,,2.7,0.63,26,30,21,30,1,55,46,31,1,152,0,29,17
3305,臺北市,古亭,2019/07/25,19時,細懸浮微粒,普通,,2.3,0.4,26,23,13,18,0.7,53,55,19,1,309,0,29,16
3306,臺北市,古亭,2019/07/25,18時,臭氧八小時,普通,,2.6,0.36,39,28,17,18,1.8,67,60,19,1,304,0,31,17
3307,臺北市,古亭,2019/07/25,17時,臭氧八小時,普通,,4.4,0.4,48,30,20,23,1.7,67,60,25,2,122,0,33,17
3308,臺北市,古亭,2019/07/25,16時,細懸浮微粒,普通,,4.1,0.34,57,,,19,1.1,54,55,20,1,57,0,33,17
3309,臺北市,古亭,2019/07/25,15時,細懸浮微粒,普通,,3.5,0.33,,27,18,16,1.8,52,46,17,1,68,0,33,16
3310,臺北市,古亭,2019/07/25,14時,,良好,,,,,37,15,,2.3,50,40,,,227,1,34,15
3311,臺北市,古亭,2019/07/25,13時,細懸浮微粒,普通,,2.8,0.36,82,31,22,15,1.4,51,36,17,1,333,0,34,16
3312,臺北市,古亭,2019/07/25,12時,,良好,,2.3,0.31,77,31,15,15,1.7,46,27,16,2,284,0,34,14
3313,臺北市,古亭,2019/07/25,11時,,良好,,2.7,0.38,59,32,14,17,1.4,45,18,19,2,243,0,35,14
3314,臺北市,古亭,2019/07/25,10時,,良好,,2.4,0.57,39,37,15,21,1.4,45,12,26,5,239,0,35,14
3315,臺北市,古亭,2019/07/25,09時,,良好,,2.1,0.63,15,35,15,19,0.7,45,9,30,11,235,0,35,14
3316,臺北市,古亭,2019/07/25,08時,,良好,,1.8,0.56,6,37,13,15,0.7,44,8,30,15,188,0,35,14
3317,臺北市,古亭,2019/07/25,07時,,良好,,1.6,0.36,5.2,40,15,9.8,0.6,43,8,18,8,172,0,34,13
3318,臺北市,古亭,2019/07/25,06時,,良好,,1.3,0.27,5,35,14,8.5,0.8,41,9,11,3,143,0,32,13
3319,臺北市,古亭,2019/07/25,05時,,良好,,1.3,0.23,7.2,38,14,7.3,0.6,43,9,8,1,167,0,32,13
3320,臺北市,古亭,2019/07/25,04時,,良好,,1.3,0.23,8.4,35,7,6.9,1.2,43,10,7,0,142,0,30,13
3321,臺北市,古亭,2019/07/25,03時,,良好,,1.3,0.2,13,34,11,4.9,0.5,48,11,6,1,175,0,29,15
3322,臺北市,古亭,2019/07/25,02時,,良好,,1.4,0.24,11,31,18,7.3,0.9,49,13,8,1,181,1,28,15
3323,臺北市,古亭,2019/07/25,01時,,良好,,1.8,0.32,6.6,30,13,12,0.9,47,16,13,1,224,1,27,14
3324,臺北市,古亭,2019/07/25,00時,,良好,,2.1,0.37,8.2,27,14,14,0.8,49,17,16,2,140,1,26,15
3325,臺北市,古亭,2019/07/24,23時,細懸浮微粒,普通,,2.2,0.48,11,25,10,17,0.6,52,24,19,2,154,1,26,16
3326,臺北市,古亭,2019/07/24,22時,細懸浮微粒,普通,,2.2,0.49,9.2,27,15,19,0.6,54,33,21,2,200,1,25,17
3327,臺北市,古亭,2019/07/24,21時,細懸浮微粒,普通,,2.4,0.61,11,24,17,28,1.9,54,43,31,3,135,1,24,17
3328,臺北市,古亭,2019/07/24,20時,細懸浮微粒,普通,,2.1,0.72,18,28,20,32,0.5,52,55,34,2,178,0,23,16
3329,臺北市,古亭,2019/07/24,19時,臭氧八小時,普通,,1.9,0.74,30,15,14,31,1.3,71,61,33,2,141,0,24,16
3330,臺北市,古亭,2019/07/24,18時,臭氧八小時,普通,,1.2,0.46,34,,,24,0.9,90,67,25,1,149,0,29,17
3331,臺北市,古亭,2019/07/24,17時,臭氧八小時,普通,,,0.17,,,,,1.5,93,68,,,141,0,28,15
3332,臺北市,古亭,2019/07/24,16時,臭氧八小時,普通,,4.7,0.32,55,33,22,18,2.1,71,61,19,1,146,0,28,15
3333,臺北市,古亭,2019/07/24,15時,,良好,,4.8,0.34,73,32,19,15,1.9,49,53,15,1,51,0,26,13
3334,臺北市,古亭,2019/07/24,14時,,設備維護,,4.7,0.31,78,28,13,12,2.1,,42,13,1,25,0,,
3335,臺北市,古亭,2019/07/24,13時,,設備維護,,4.5,0.4,95,,,14,1.7,,31,15,1,27,0,,
3336,臺北市,古亭,2019/07/24,12時,,良好,,,,,,,,1.8,26,17,,,309,0,17,8
3337,臺北市,古亭,2019/07/24,11時,,良好,,,,,,,,,27,16,,,,0,19,8
3338,臺北市,古亭,2019/07/24,10時,,良好,,1.8,0.34,38,15,8,12,1.2,26,16,16,4,278,0,19,8
3339,臺北市,古亭,2019/07/24,09時,,良好,,2.1,0.35,27,17,9,11,0.9,27,14,16,5,157,0,20,8
3340,臺北市,古亭,2019/07/24,08時,,良好,,1.8,0.47,9.6,27,11,14,1,27,12,26,12,85,0,21,8
3341,臺北市,古亭,2019/07/24,07時,,良好,,1.5,0.34,7,20,7,11,1.2,25,13,18,8,148,0,19,8
3342,臺北市,古亭,2019/07/24,06時,,良好,,1.2,0.2,9.7,26,8,6.7,0.6,25,14,8,2,202,0,18,8
3343,臺北市,古亭,2019/07/24,05時,,良好,,1.2,0.17,8.3,19,5,5.9,0.7,26,14,7,1,159,0,17,8
3344,臺北市,古亭,2019/07/24,04時,,良好,,1.2,0.15,13,14,2,4.5,0.5,30,16,5,1,127,0,17,9
3345,臺北市,古亭,2019/07/24,03時,,良好,,1.3,0.16,15,13,4,4.3,1,34,16,5,1,217,0,17,11
3346,臺北市,古亭,2019/07/24,02時,,良好,,1.4,0.16,18,16,8,4.5,0.5,38,15,5,1,170,1,17,12
3347,臺北市,古亭,2019/07/24,01時,,良好,,1.1,0.2,19,16,11,7.3,1,42,17,8,1,182,1,18,13
3348,臺北市,古亭,2019/07/24,00時,,良好,,1,0.24,17,14,7,9,0.7,45,19,11,2,194,1,19,14
3349,臺北市,古亭,2019/07/23,23時,細懸浮微粒,普通,,1.3,0.42,8.9,12,10,16,0.7,53,21,20,3,216,1,21,16
3350,臺北市,古亭,2019/07/23,22時,細懸浮微粒,普通,,1.5,0.51,15,24,15,21,0.5,54,26,23,2,138,1,22,17
3351,臺北市,古亭,2019/07/23,21時,細懸浮微粒,普通,,2,0.56,24,24,21,24,0.7,52,32,26,2,213,1,22,16
3352,臺北市,古亭,2019/07/23,20時,,良好,,,1.05,11,24,24,43,1.2,49,36,47,4,140,1,21,15
3353,臺北市,古亭,2019/07/23,19時,,良好,,1.7,0.97,10,20,15,47,0.6,44,43,52,5,217,1,21,14
3354,臺北市,古亭,2019/07/23,18時,,良好,,1.2,0.62,27,23,12,31,0.5,44,47,33,2,84,0,22,13
3355,臺北市,古亭,2019/07/23,17時,,良好,,1,0.37,37,19,19,22,0.5,44,48,24,2,164,0,22,13
3356,臺北市,古亭,2019/07/23,16時,,良好,,1.2,0.35,36,20,18,24,1.1,43,46,26,2,64,0,22,12
3357,臺北市,古亭,2019/07/23,15時,,良好,,1.6,0.31,43,23,14,17,1.3,39,42,19,2,85,0,22,10
3358,臺北市,古亭,2019/07/23,14時,,良好,,2,0.31,69,23,12,13,1.8,35,38,14,2,54,0,22,9
3359,臺北市,古亭,2019/07/23,13時,,良好,,2.3,0.32,55,18,11,15,1.1,28,30,18,2,21,0,22,8
3360,臺北市,古亭,2019/07/23,12時,,良好,,0.9,0.47,65,23,9,19,1.4,24,25,22,2,70,0,23,7
3361,臺北市,古亭,2019/07/23,11時,,良好,,0.9,0.34,47,17,4,14,0.7,23,18,18,4,315,0,23,7
3362,臺北市,古亭,2019/07/23,10時,,良好,,,,,,,,,27,11,,,,0,25,8
3363,臺北市,古亭,2019/07/23,10時,,良好,,1,0.39,32,22,7,15,0.7,26,14,22,7,148,0,24,8
3364,臺北市,古亭,2019/07/23,09時,,良好,,1.1,0.48,19,24,8,15,0.5,27,12,24,9,242,0,24,8
3365,臺北市,古亭,2019/07/23,08時,,良好,,1,0.34,9,25,8,9.8,1,27,11,20,10,134,0,24,8
3366,臺北市,古亭,2019/07/23,07時,,良好,,1,0.26,7.1,26,9,8.5,0.7,27,11,15,7,152,0,24,8
3367,臺北市,古亭,2019/07/23,06時,,良好,,0.9,0.17,8.7,23,10,6.2,0.6,27,11,8,2,142,0,23,8
3368,臺北市,古亭,2019/07/23,05時,,良好,,0.9,0.14,11,27,7,5.2,0.5,26,11,6,1,128,0,22,8
3369,臺北市,古亭,2019/07/23,04時,,良好,,0.9,0.14,12,27,6,5.3,0.5,27,11,6,1,77,0,21,8
3370,臺北市,古亭,2019/07/23,03時,,良好,,1,0.19,12,22,10,6.9,0.7,29,12,8,1,156,1,21,9
3371,臺北市,古亭,2019/07/23,02時,,良好,,1.1,0.2,13,26,7,7.9,1,30,14,9,1,77,1,21,9
3372,臺北市,古亭,2019/07/23,01時,,良好,,2,0.34,11,27,8,14,0.7,31,17,15,1,134,1,20,10
3373,臺北市,古亭,2019/07/23,00時,,良好,,2.1,0.44,8.9,23,8,20,0.5,32,21,21,2,119,1,18,10
3374,臺北市,古亭,2019/07/22,23時,,良好,,2.2,0.62,7.5,21,10,26,0.5,35,26,29,4,156,1,17,11
3375,臺北市,古亭,2019/07/22,22時,,良好,,2.3,0.65,9,17,6,28,0.9,34,34,31,2,131,1,15,11
3376,臺北市,古亭,2019/07/22,21時,,良好,,2.4,0.63,13,11,9,28,0.5,40,43,29,2,173,0,14,11
3377,臺北市,古亭,2019/07/22,20時,臭氧八小時,普通,,2.5,0.59,21,14,12,26,0.5,51,55,27,1,249,0,13,11
3378,臺北市,古亭,2019/07/22,19時,臭氧八小時,普通,,1.6,0.67,26,8,9,30,0.9,74,62,32,2,280,0,14,12
3379,臺北市,古亭,2019/07/22,18時,臭氧八小時,普通,,1.4,0.43,36,10,10,22,0.6,77,63,23,1,213,0,18,12
3380,臺北市,古亭,2019/07/22,17時,臭氧八小時,普通,,1.1,0.3,48,6,11,15,1.5,71,61,15,1,230,0,22,13
3381,臺北市,古亭,2019/07/22,16時,臭氧八小時,普通,,1.5,0.25,50,19,14,12,1.1,54,56,13,0,46,0,27,14
3382,臺北市,古亭,2019/07/22,15時,,良好,,3.2,0.28,70,32,17,11,2.6,46,50,12,1,315,0,27,14
3383,臺北市,古亭,2019/07/22,14時,,良好,,4,0.37,83,34,19,14,2.8,40,42,15,1,11,0,24,12
3384,臺北市,古亭,2019/07/22,13時,,良好,,2.7,0.46,106,29,17,15,2.8,34,33,16,1,342,0,22,11
3385,臺北市,古亭,2019/07/22,12時,,良好,,2.1,0.46,76,18,11,17,1.8,31,20,18,2,208,0,21,10
3386,臺北市,古亭,2019/07/22,12時,,良好,,,,,,,,,30,12,,,,0,21,9
3387,臺北市,古亭,2019/07/22,11時,,良好,,1.5,0.31,38,13,9,13,1.2,31,12,15,3,210,0,21,10
3388,臺北市,古亭,2019/07/22,10時,,良好,,1.6,0.37,19,17,8,12,1,30,8,20,8,236,0,23,9
3389,臺北市,古亭,2019/07/22,09時,,良好,,1.6,0.55,7.1,19,10,15,0.7,30,7,29,14,122,0,25,9
3390,臺北市,古亭,2019/07/22,08時,,良好,,1.5,0.43,3.9,19,9,16,0.7,30,6,27,11,78,0,27,9
3391,臺北市,古亭,2019/07/22,07時,,良好,,1.2,0.24,6.8,29,6,8.9,0.9,31,7,12,3,100,0,28,9
3392,臺北市,古亭,2019/07/22,06時,,良好,,1.3,0.19,7.9,32,7,5.2,0.7,33,7,6,1,151,0,27,10
3393,臺北市,古亭,2019/07/22,05時,,良好,,1.2,0.19,4.9,33,8,6.6,1.3,36,7,7,1,150,0,25,11
3394,臺北市,古亭,2019/07/22,04時,,良好,,1.2,0.16,7.2,28,10,4.8,0.9,39,7,5,1,138,0,24,12
3395,臺北市,古亭,2019/07/22,03時,,良好,,1.3,0.21,6.9,28,11,7.3,0.7,40,9,8,1,221,0,23,12
3396,臺北市,古亭,2019/07/22,02時,,良好,,1.3,0.27,7.5,25,13,9,0.4,39,12,10,1,221,0,20,12
3397,臺北市,古亭,2019/07/22,01時,,良好,,1.2,0.34,6.5,32,15,13,0.8,38,14,15,2,223,0,19,12
3398,臺北市,古亭,2019/07/22,00時,,良好,,1.5,0.4,4.8,25,15,16,1.1,37,17,18,3,220,0,17,12
3399,臺北市,古亭,2019/07/21,23時,,良好,,1.4,0.47,6.3,15,11,18,1,35,21,21,3,77,0,15,11
3400,臺北市,古亭,2019/07/21,22時,,良好,,1.5,0.43,8.8,21,12,19,0.5,34,25,22,3,199,0,14,11
3401,臺北市,古亭,2019/07/21,21時,,良好,,1.6,0.56,12,21,14,24,0.7,33,30,26,2,164,0,12,10
3402,臺北市,古亭,2019/07/21,20時,,良好,,1.4,0.47,21,13,11,21,0.4,31,34,22,1,260,0,11,9
3403,臺北市,古亭,2019/07/21,19時,,良好,,1.2,0.4,28,6,11,17,0.5,35,38,18,1,224,0,12,9
3404,臺北市,古亭,2019/07/21,18時,,良好,,1.1,0.33,28,9,8,20,0.6,37,40,21,2,198,0,14,8
3405,臺北市,古亭,2019/07/21,17時,,良好,,1,0.27,31,12,7,16,1.8,37,40,17,1,294,0,16,9
3406,臺北市,古亭,2019/07/21,16時,,良好,,0.8,0.24,35,11,7,11,1.6,35,38,12,1,353,0,17,9
3407,臺北市,古亭,2019/07/21,15時,,良好,,0.8,0.21,41,11,5,6.7,1.1,33,36,8,1,76,0,18,10
3408,臺北市,古亭,2019/07/21,14時,,良好,,0.7,0.18,41,13,8,5.4,1.6,34,32,7,1,116,0,21,10
3409,臺北市,古亭,2019/07/21,13時,,良好,,0.9,0.18,49,13,10,4.6,2.1,37,28,6,1,252,0,23,12
3410,臺北市,古亭,2019/07/21,12時,,良好,,1.2,0.22,55,15,10,5.1,1.7,40,23,6,1,283,0,25,12
3411,臺北市,古亭,2019/07/21,11時,,良好,,1.3,0.26,43,21,8,5.6,1.8,41,17,7,1,298,0,27,13
3412,臺北市,古亭,2019/07/21,10時,,良好,,1.5,0.34,26,22,15,9.8,0.8,43,12,13,3,199,0,29,13
3413,臺北市,古亭,2019/07/21,09時,,良好,,1.4,0.34,18,29,14,10,1.5,42,10,15,5,142,0,30,13
3414,臺北市,古亭,2019/07/21,08時,,良好,,1.4,0.39,12,29,13,11,0.8,41,8,16,5,168,0,30,13
3415,臺北市,古亭,2019/07/21,07時,,良好,,1.5,0.36,9.6,33,12,10,1.1,43,7,13,3,134,0,31,13
3416,臺北市,古亭,2019/07/21,06時,,良好,,1.5,0.31,11,34,14,7.8,0.7,42,7,9,1,132,0,30,13
3417,臺北市,古亭,2019/07/21,05時,,良好,,1.4,0.32,7.6,32,11,8.3,0.5,41,7,10,2,175,0,29,13
3418,臺北市,古亭,2019/07/21,04時,,良好,,1.6,0.32,6.8,35,16,9.4,1,42,8,11,1,142,0,28,13
3419,臺北市,古亭,2019/07/21,03時,,良好,,1.3,0.34,5.6,36,11,11,0.8,41,9,12,1,98,0,26,13
3420,臺北市,古亭,2019/07/21,02時,,良好,,1.3,0.34,6.7,29,14,11,0.6,41,10,13,2,151,0,23,13
3421,臺北市,古亭,2019/07/21,01時,,良好,,1.7,0.35,4,30,14,16,1.1,40,13,18,2,151,0,21,12
3422,臺北市,古亭,2019/07/21,00時,,良好,,0.9,0.34,7.4,23,12,13,0.9,40,17,16,3,103,0,19,12
3423,臺北市,古亭,2019/07/20,23時,,良好,,0.9,0.39,7.9,21,12,17,1,40,20,20,3,186,0,19,12
3424,臺北市,古亭,2019/07/20,22時,,良好,,1,0.29,12,19,11,12,0.8,39,25,15,2,165,0,18,12
3425,臺北市,古亭,2019/07/20,21時,,良好,,1.2,0.44,11,18,15,22,1.3,37,30,25,2,214,0,18,11
3426,臺北市,古亭,2019/07/20,20時,,良好,,1.1,0.4,16,21,16,22,0.8,34,37,23,1,138,0,18,11
3427,臺北市,古亭,2019/07/20,19時,,良好,,1.3,0.32,18,22,11,20,0.8,40,43,23,2,87,0,18,11
3428,臺北市,古亭,2019/07/20,18時,,良好,,0.9,0.32,28,14,5,17,0.9,43,46,19,2,134,0,16,11
3429,臺北市,古亭,2019/07/20,17時,,良好,,0.7,0.31,32,15,10,18,1.1,43,46,20,2,180,0,18,12
3430,臺北市,古亭,2019/07/20,16時,,良好,,1,0.18,38,21,19,13,1.3,41,44,14,1,292,0,18,12
3431,臺北市,古亭,2019/07/20,15時,,良好,,0.8,0.19,45,11,8,11,2.3,37,40,13,2,88,0,18,11
3432,臺北市,古亭,2019/07/20,14時,,良好,,1.8,0.19,52,17,12,11,3,36,36,12,1,58,0,19,11
3433,臺北市,古亭,2019/07/20,13時,,良好,,0.8,0.21,68,14,11,9.9,1.1,36,31,11,1,53,0,21,11
3434,臺北市,古亭,2019/07/20,12時,,良好,,0.9,0.19,61,14,5,7.7,1,38,25,9,1,71,0,24,12
3435,臺北市,古亭,2019/07/20,11時,,良好,,1.2,0.14,44,10,7,7.7,0.7,44,19,9,1,93,0,26,13
3436,臺北市,古亭,2019/07/20,10時,,良好,,1.3,0.3,30,22,10,13,1.4,49,14,18,5,80,0,29,15
3437,臺北市,古亭,2019/07/20,09時,細懸浮微粒,普通,,1.3,0.41,14,25,13,16,0.8,54,11,27,11,217,0,31,17
3438,臺北市,古亭,2019/07/20,08時,細懸浮微粒,普通,,1,0.34,10,22,12,12,0.5,57,10,18,6,183,0,33,18
3439,臺北市,古亭,2019/07/20,07時,細懸浮微粒,普通,,1,0.2,12,26,14,9.1,0.7,60,9,12,3,144,0,36,19
3440,臺北市,古亭,2019/07/20,06時,細懸浮微粒,普通,,1.1,0.19,13,34,17,7.2,0.8,63,8,8,1,170,0,38,20
3441,臺北市,古亭,2019/07/20,05時,細懸浮微粒,普通,,1.1,0.21,14,36,19,6.9,1,65,7,8,1,140,1,39,21
3442,臺北市,古亭,2019/07/20,04時,細懸浮微粒,普通,,1.5,0.21,11,38,18,8.6,0.5,65,7,9,1,163,1,41,21
3443,臺北市,古亭,2019/07/20,03時,細懸浮微粒,普通,,1.4,0.28,7.5,41,21,11,1.2,66,9,12,1,143,1,40,22
3444,臺北市,古亭,2019/07/20,02時,細懸浮微粒,普通,,1.6,0.34,6,43,21,14,0.7,66,12,16,1,102,1,39,22
3445,臺北市,古亭,2019/07/20,01時,細懸浮微粒,普通,,1.8,0.56,4.5,50,20,19,0.7,68,16,23,3,154,1,38,22
3446,臺北市,古亭,2019/07/20,00時,細懸浮微粒,普通,,2.3,0.58,4.7,37,24,20,0.8,69,21,25,5,149,1,35,23
3447,臺北市,古亭,2019/07/19,23時,細懸浮微粒,普通,,2.4,0.68,3.7,39,24,23,0.7,67,25,29,7,170,1,35,22
3448,臺北市,古亭,2019/07/19,22時,細懸浮微粒,普通,,2.4,0.78,5.1,40,27,29,1.1,66,29,35,5,142,1,33,22
3449,臺北市,古亭,2019/07/19,21時,細懸浮微粒,普通,,2.8,0.77,14,34,28,30,0.6,63,33,32,3,197,1,32,20
3450,臺北市,古亭,2019/07/19,20時,細懸浮微粒,普通,,3.6,0.7,26,41,21,26,0.6,56,36,28,1,146,1,31,18
3451,臺北市,古亭,2019/07/19,19時,細懸浮微粒,普通,,3.4,0.72,31,33,25,24,1.9,53,39,25,1,299,0,28,16
3452,臺北市,古亭,2019/07/19,18時,,良好,,3.3,0.49,39,32,21,20,1.4,46,44,21,1,261,0,27,14
3453,臺北市,古亭,2019/07/19,17時,,良好,,2.6,0.33,42,30,13,15,1.7,43,44,17,2,257,0,26,13
3454,臺北市,古亭,2019/07/19,16時,,良好,,2.2,0.28,42,27,15,14,2.1,41,41,16,2,296,1,24,13
3455,臺北市,古亭,2019/07/19,15時,,良好,,1.8,0.4,33,31,15,22,2.1,38,36,26,4,225,1,22,12
3456,臺北市,古亭,2019/07/19,14時,,良好,,1.7,0.36,36,26,18,20,1.7,35,33,22,3,135,1,20,11
3457,臺北市,古亭,2019/07/19,13時,,良好,,2.2,0.34,44,20,11,17,1.3,31,29,19,2,159,0,19,10
3458,臺北市,古亭,2019/07/19,12時,,良好,,2.9,0.47,50,22,11,18,1.8,31,26,20,2,275,0,19,9
3459,臺北市,古亭,2019/07/19,11時,,良好,,2.7,0.66,65,21,12,19,1.1,29,21,21,2,233,0,19,9
3460,臺北市,古亭,2019/07/19,10時,,良好,,2.2,0.66,43,24,12,21,1.3,27,14,26,5,239,0,19,8
3461,臺北市,古亭,2019/07/19,09時,,良好,,2,0.56,13,23,7,15,0.6,25,11,28,13,199,0,18,8
3462,臺北市,古亭,2019/07/19,08時,,良好,,1.7,0.43,6.9,21,7,12,1,25,10,25,13,136,0,17,8
3463,臺北市,古亭,2019/07/19,07時,,良好,,1.6,0.26,6.1,19,6,7.8,0.6,24,10,15,7,174,0,15,8
3464,臺北市,古亭,2019/07/19,06時,,良好,,1.6,0.18,7.6,16,7,8.5,0.4,24,11,11,2,174,0,13,7
3465,臺北市,古亭,2019/07/19,05時,,良好,,1.6,0.13,14,10,4,6.1,0.4,24,11,7,0,176,0,12,8
3466,臺北市,古亭,2019/07/19,04時,,良好,,1.6,0.1,13,8,6,5.4,0.9,30,11,6,1,255,0,14,9
3467,臺北市,古亭,2019/07/19,03時,,良好,,1.6,0.11,13,8,5,6.2,1.5,32,11,7,1,234,0,17,10
3468,臺北市,古亭,2019/07/19,02時,,良好,,1.7,0.12,13,11,7,7.5,1.1,35,11,8,1,238,0,19,11
3469,臺北市,古亭,2019/07/19,01時,,良好,,1.7,0.21,9.3,17,16,11,1.1,40,11,12,1,255,0,21,12
3470,臺北市,古亭,2019/07/19,00時,,良好,,2.9,0.28,7.7,26,11,14,1.9,37,12,16,2,250,0,22,11
3471,臺北市,古亭,2019/07/18,23時,,良好,,3.5,0.34,7.7,22,14,16,1.1,34,13,19,3,251,0,21,11
3472,臺北市,古亭,2019/07/18,22時,,良好,,3.6,0.38,9.5,23,17,17,2.3,29,14,20,2,253,0,19,9
3473,臺北市,古亭,2019/07/18,21時,,良好,,3.2,0.41,12,24,11,15,2.1,24,16,17,2,255,0,18,7
3474,臺北市,古亭,2019/07/18,20時,,良好,,1.8,0.39,14,22,6,14,1.2,22,17,15,2,273,0,17,7
3475,臺北市,古亭,2019/07/18,19時,,良好,,1.7,0.37,15,18,7,12,1.7,20,19,14,2,300,0,16,6
3476,臺北市,古亭,2019/07/18,18時,,良好,,1.6,0.34,15,21,10,12,2,19,20,16,3,340,0,14,6
3477,臺北市,古亭,2019/07/18,17時,,良好,,1.5,0.23,17,18,10,8.8,1.9,19,20,11,2,302,0,12,5
3478,臺北市,古亭,2019/07/18,16時,,良好,,1.5,0.26,14,17,3,10,1.7,19,20,16,6,318,0,10,3
3479,臺北市,古亭,2019/07/18,15時,,良好,,1.1,0.21,17,9,4,7.6,2.3,19,20,11,3,290,0,10,4
3480,臺北市,古亭,2019/07/18,14時,,良好,,1.2,0.16,22,,,4.7,3,18,19,7,2,329,0,10,4
3481,臺北市,古亭,2019/07/18,13時,,良好,,,0.21,24,,,,2,18,19,,,332,0,9,3
3482,臺北市,古亭,2019/07/18,12時,,良好,,1.8,0.31,31,18,7,16,2,16,17,19,3,311,0,10,3
3483,臺北市,古亭,2019/07/18,11時,,良好,,1.6,0.24,21,8,3,10,1.9,14,15,15,5,244,0,9,2
3484,臺北市,古亭,2019/07/18,10時,,良好,,1.3,0.3,16,8,2,12,0.7,13,14,18,6,57,0,10,2
3485,臺北市,古亭,2019/07/18,05時,,良好,,1.7,0.08,13,7,3,4,0.7,11,12,5,1,144,0,9,3
3486,臺北市,古亭,2019/07/18,04時,,良好,,1.7,0.08,12,9,4,4.3,0.8,10,11,5,1,128,0,11,3
3487,臺北市,古亭,2019/07/18,01時,,良好,,1.5,0.13,13,16,2,4.7,0.8,13,9,6,1,139,0,14,3
